ID,Day,Weekday,I felt the urge to take my phone out of the box tonight.,I was worried that something is going on that I needed to track.,My first impulse after waking up was to check the phone.,Today I have used my phone without a goal in mind.,I feel restless and frustrated when putting my phone away.,I preferred using my smartphone rather than spend time with others.
AD,1,Monday,1,5,6,5,3,1
AD,2,Tuesday,7,7,6,2,2,1
AD,3,Wednesday,2,2,6,2,5,1
AD,4,Thursday,1,1,5,6,2,1
AD,5,Friday,1,1,5,5,1,1
AD,6,Saturday,1,1,5,4,1,1
AD,7,Sunday,2,1,6,5,1,1
AD,8,Monday,2,4,7,3,2,1
AD,9,Tuesday,1,1,6,1,1,1
AD,10,Wednesday,1,1,5,3,1,1
AD,11,Thursday,1,1,5,6,1,1
AD,12,Friday,1,1,5,5,1,1
AD,13,Saturday,1,1,5,6,1,1
AD,14,Sunday,1,1,5,7,4,1
AE,1,Sunday,2,3,5,3,5,3
AE,2,Monday,2,5,5,3,5,1
AE,3,Tuesday,3,3,3,6,5,2
AE,4,Wednesday,2,3,2,5,3,2
AE,5,Thursday,3,3,3,5,3,2
AE,6,Friday,3,2,2,3,3,2
AE,7,Saturday,3,3,2,3,5,2
AE,8,Sunday,3,3,5,2,3,1
AE,9,Monday,4,3,6,3,5,2
AE,10,Tuesday,2,3,2,5,3,2
AE,11,Wednesday,5,3,3,3,5,2
AE,12,Thursday,3,3,5,5,5,1
AE,13,Friday,2,2,2,2,3,2
AE,14,Saturday,2,2,2,5,3,2
AV,1,Wednesday,1,1,6,5,2,2
AV,2,Thursday,2,2,5,5,1,1
AV,3,Friday,1,1,2,3,1,1
AV,4,Saturday,1,1,4,4,2,1
AV,5,Sunday,1,1,5,3,1,2
AV,6,Monday,1,1,2,5,1,1
AV,7,Tuesday,1,1,2,5,1,1
AV,8,Wednesday,1,1,4,3,1,1
AV,9,Thursday,1,1,2,5,1,1
AV,10,Friday,1,1,3,3,1,1
AV,11,Saturday,1,1,3,2,1,1
AV,12,Sunday,1,1,2,2,1,1
AV,13,Monday,1,1,2,2,1,1
AV,14,Tuesday,1,1,3,3,1,1
DG,1,Sunday,3,3,1,6,2,3
DG,2,Monday,4,5,7,4,2,2
DG,3,Tuesday,2,1,1,4,2,2
DG,4,Wednesday,3,3,4,4,2,2
DG,5,Thursday,1,3,1,6,2,3
DG,6,Friday,3,5,6,6,4,3
DG,7,Saturday,1,1,1,7,2,2
DG,8,Sunday,1,2,1,5,3,3
DG,9,Monday,3,2,3,6,3,2
DG,10,Tuesday,2,2,1,6,2,2
DG,11,Wednesday,5,5,6,5,2,2
DG,12,Thursday,1,1,2,3,2,2
DG,13,Friday,1,2,1,2,2,2
DG,14,Saturday,1,2,1,4,2,3
IB,1,Sunday,5,2,4,5,3,2
IB,2,Monday,5,2,3,6,4,3
IB,3,Tuesday,3,2,3,5,5,3
IB,4,Wednesday,5,2,3,6,4,3
IB,5,Thursday,5,3,4,4,3,3
IB,6,Friday,4,2,3,5,5,3
IB,7,Saturday,3,2,3,4,3,2
IB,8,Sunday,2,1,2,5,3,2
IB,9,Monday,5,1,2,6,4,2
IB,10,Tuesday,4,1,2,4,3,2
IB,11,Wednesday,1,1,2,4,4,1
IB,12,Thursday,5,1,2,5,4,2
IB,13,Friday,3,1,2,4,3,3
IB,14,Saturday,4,1,3,5,4,3
JP,1,Thursday,1,1,7,6,2,1
JP,2,Friday,2,1,6,3,2,1
JP,3,Saturday,1,1,6,7,5,2
JP,4,Sunday,2,1,7,7,4,4
JP,5,Monday,2,1,6,5,3,5
JP,6,Tuesday,1,1,7,2,1,1
JP,7,Wednesday,2,1,6,2,2,1
JP,8,Thursday,1,1,5,3,2,2
JP,9,Friday,3,1,3,3,2,2
JP,10,Saturday,1,1,6,2,1,1
JP,11,Sunday,1,1,5,2,1,5
JP,12,Monday,1,1,5,2,1,1
JP,13,Tuesday,2,1,2,1,1,1
JP,14,Wednesday,1,1,5,1,1,1
JT,1,Wednesday,1,3,4,7,1,2
JT,2,Thursday,5,2,5,6,1,3
JT,3,Friday,3,3,7,4,2,2
JT,4,Monday,6,6,5,5,1,1
JT,5,Tuesday,1,5,7,7,1,6
JT,6,Wednesday,1,4,7,7,1,4
JT,7,Thursday,1,5,7,7,1,6
JT,8,Friday,3,3,7,6,3,6
JT,9,Saturday,2,2,6,4,2,2
JT,10,Sunday,1,2,5,5,3,2
JT,11,Monday,2,2,6,2,2,2
JT,12,Tuesday,5,3,5,4,2,4
JT,13,Wednesday,2,2,5,4,2,4
JT,14,Thursday,1,2,5,5,3,2
OS,1,Wednesday,1,1,1,4,1,1
OS,2,Thursday,1,1,1,5,1,1
OS,3,Friday,1,1,1,3,1,1
OS,4,Saturday,1,1,1,5,1,1
OS,5,Sunday,1,1,1,5,1,1
OS,6,Monday,1,1,1,3,1,1
OS,7,Tuesday,1,1,1,1,1,1
OS,8,Wednesday,1,1,1,1,1,1
OS,9,Thursday,1,1,1,3,1,1
OS,10,Friday,1,1,1,3,1,1
OS,11,Saturday,1,1,1,1,1,1
OS,12,Sunday,1,1,1,1,1,1
OS,13,Monday,1,1,1,1,1,1
OS,14,Tuesday,1,1,1,1,1,1
FC,1,Wednesday,2,2,4,5,2,1.00
FC,2,Thursday,4,3,5,4,2,1.00
FC,3,Friday,2,2,4,4,3,3.00
FC,4,Saturday,3,2,4,5,2,3.00
FC,5,Sunday,2,2,4,5,2,1.00
FC,6,Monday,2,2,4,4,2,1.00
FC,7,Tuesday,2,2,4,4,2,3.00
FC,8,Wednesday,2,2,4,4,2,3.00
FC,9,Thursday,3,2,4,4,2,1.00
FC,10,Friday,2,2,3,4,2,1.00
FC,11,Saturday,2,2,4,3,2,3.00
FC,12,Sunday,2,2,3,3,2,3.00
FC,13,Monday,2,1,3,3,2,1.00
FC,14,Tuesday,2,1,3,4,2,1.00
FL,1,Wednesday,2,2,4,5,2,3.00
FL,2,Thursday,3,3,5,5,2,3.00
FL,3,Friday,2,2,3,5,3,1.00
FL,4,Saturday,3,2,4,5,2,1.00
FL,5,Sunday,2,2,4,5,2,3.00
FL,6,Monday,2,2,4,4,2,3.00
